Данные внешнеторгового оборота с сайта: https://wits.worldbank.org/;;;;;;;;
ВВП с сайта ООН: https://data.un.org/;;;;;;;;
Расстояние между столицами можно посмотреть здесь: https://ru.distance.to/;;;;;;;;
;;Год;Экспорт+импорт между странами (в тысячах долларов);ВВП Германии (в тысячах долларов);ВВП страны-партнера (в тысячах долларов);Расстояние от столицы до столицы (км);Наличие общей границы (1-если есть общая граница, 0-в ином случае);
Germany;Partner;year;e&i;gdp_g;p_gdp;dist;cborder;Number
Germany;Luxembourg;2016;9491831.64;3801859415.701;62554580.195;602.83;0;18
Germany;Latvia;2016;2648990.51;3801859415.701;28840138.95;843.26;0;19
Germany;Malta;2016;1086990.04;3801859415.701;11860088.863;1849.02;0;20
Germany;Netherlands;2016;179324562.08;3801859415.701;900954036.057;577.54;1;21
Germany;Poland;2016;110333859.22;3801859415.701;573399993.367;516.57;1;22
Germany;Portugal;2016;15259564.38;3801859415.701;221988394.062;2313.56;0;23
Germany;Romania;2016;29059020.52;3801859415.701;200216993;1295.15;0;24
Germany;Slovak Republic;2016;30212603.68;3801859415.701;104803938.88;552.82;0;25
Germany;Slovenia;2016;11514290.57;3801859415.701;50481183.687;724.37;0;26
Germany;Sweden;2016;43872997.49;3801859415.701;557636507.608;810.44;0;27
France;Austria;2016;9324991.8;2813858460.985;421989351.972;1033.94;0;28
France;Belgium;2016;71185834.83;2813858460.986;516766169.336;264.39;1;29
France;Bulgaria;2016;2075086.03;2813858460.987;56786830.394;1758.11;0;30
France;Cyprus;2016;351906.2;2813858460.988;24763426.271;2950.30;0;31
France;Czech Republic;2016;11539405.5;2813858460.989;231018496.459;882.31;0;32
France;Germany;2016;173398629.66;2813858460.990;3801859415.701;876.67;1;33
France;Denmark;2016;5609185.23;2813858460.991;351532474.229;948.06;0;34
France;Spain;2016;72413872.11;2813858460.992;1466069003.021;1052.79;1;35
France;Estonia;2016;612650.56;2813858460.993;23822869.474;1859.15;0;36
France;Finland;2016;4421432.37;2813858460.994;253538546.938;1909.34;0;37
France;United Kingdom;2016;55982096.79;2813858460.995;2768440622.491;343.83;0;38
France;Greece;2016;2987739.66;2813858460.996;244251239.365;2096.15;0;39
France;Croatia;2016;663379.76;2813858460.997;61441842.441;1079.81;0;40
France;Hungary;2016;8050325.74;2813858460.998;147525724.288;1244.66;0;41
France;Ireland;2016;10566499.65;2813858460.999;332635005.979;779.47;0;42
France;Italy;2016;77754300.33;2813858460.1000;2085992358.269;1107.31;1;43
France;Lithuania;2016;1289274.9;2813858460.1001;45744903.856;1696.86;0;44
France;Luxembourg;2016;3843851.35;2813858460.1002;62554580.195;294.28;1;45
France;Latvia;2016;487329.72;2813858460.1003;28840138.95;1703.78;0;46
France;Malta;2016;677447.13;2813858460.1004;11860088.863;1748.91;0;47
France;Netherlands;2016;43216196.36;2813858460.1005;900954036.057;430.64;0;48
France;Poland;2016;19108764.23;2813858460.1006;573399993.367;1367.01;0;49
France;Portugal;2016;11237285.75;2813858460.1007;221988394.062;1453.17;0;50
France;Romania;2016;8211195.52;2813858460.1008;200216993;1871.11;0;51
France;Slovak Republic;2016;7282623.53;2813858460.1009;104803938.88;1088.79;0;52
France;Slovenia;2016;2049567.96;2813858460.1010;50481183.687;964.72;0;53
France;Sweden;2016;11592913.91;2813858460.1011;557636507.608;1544.55;0;54
Germany;Austria;2017;116140571.38;3883869685.204;432753797.16;523.91;1;1
Germany;Belgium;2017;94886256.75;3883869685.204;525514413.5;651.51;1;2
Germany;Bulgaria;2017;8487147.79;3883869685.204;58951153.553;1319.23;0;3
Germany;Cyprus;2017;809935.5;3883869685.204;25811310.901;2489.79;0;4
Germany;Czech Republic;2017;98801867.49;3883869685.204;240949037.085;279.94;1;5
Germany;Denmark;2017;34389361.28;3883869685.204;359485426.492;445.46;1;6
Germany;Spain;2017;84337393.47;3883869685.204;1509745872.74;1870.33;0;7
Germany;Estonia;2017;2776243.12;3883869685.204;24979264.155;1040.71;0;8
Germany;Finland;2017;21732975.67;3883869685.204;260630839.901;1104.89;0;9
Germany;France;2017;191739574.23;3883869685.204;2874671670.18;878.32;0;10
Germany;United Kingdom;2017;136185196.55;3883869685.204;2816440622.491;932.24;0;11
Germany;Greece;2017;8052876.99;3883869685.204;247927463.135;1803.74;0;12
Germany;Croatia;2017;5510607.41;3883869685.204;63236782.602;769.34;0;13
Germany;Hungary;2017;57766744.22;3883869685.204;153628957.825;688.38;0;14
Germany;Ireland;2017;22140928.07;3883869685.204;358588690.892;1317.05;0;15
Germany;Italy;2017;136861297.37;3883869685.204;2118779147.896;1184.57;0;16
Germany;Lithuania;2017;5690931.02;3883869685.204;47638719.305;818.48;0;17
Germany;Luxembourg;2017;10287660.99;3883869685.204;63522097.424;602.83;0;18
Germany;Latvia;2017;2976361.37;3883869685.204;30177306.115;843.26;0;19
Germany;Malta;2017;1042904.53;3883869685.204;12652624.158;1849.02;0;20
Germany;Netherlands;2017;186581105.49;3883869685.204;929444115.282;577.54;1;21
Germany;Poland;2017;124726236.22;3883869685.204;600956455.411;516.57;1;22
Germany;Portugal;2017;17167868.48;3883869685.204;223971165.725;2313.56;0;23
Germany;Romania;2017;34007128.78;3883869685.204;214126202.8;1295.15;0;24
Germany;Slovak Republic;2017;31527823.58;3883869685.204;108145445.89;552.82;0;25
Germany;Slovenia;2017;12839469.42;3883869685.204;52945001.482;724.37;0;26
Germany;Sweden;2017;47748788.62;3883869685.204;569373173.187;810.44;0;27
France;Austria;2017;11771508.74;2874671670.18;432753797.16;1033.94;0;28
France;Belgium;2017;77767720.1;2874671670.19;525514413.5;264.39;1;29
France;Bulgaria;2017;2159836.7;2874671670.20;58951153.553;1758.11;0;30
France;Cyprus;2017;285517.56;2874671670.21;25811310.901;2950.30;0;31
France;Czech Republic;2017;13061757.83;2874671670.22;240949037.085;882.31;0;32
France;Germany;2017;174692093.21;2874671670.23;3883869685.204;876.67;1;33
France;Denmark;2017;6310550.58;2874671670.24;359485426.492;948.06;0;34
France;Spain;2017;79613552.15;2874671670.25;1509745872.74;1052.79;1;35
France;Estonia;2017;762868.28;2874671670.26;24979264.155;1859.15;0;36
France;Finland;2017;5017129.04;2874671670.27;260630839.901;1909.34;0;37
France;United Kingdom;2017;66174042.91;2874671670.28;2816440622.491;343.83;0;38
France;Greece;2017;3069595.58;2874671670.29;247927463.135;2096.15;0;39
France;Croatia;2017;832021.63;2874671670.30;63236782.602;1079.81;0;40
France;Hungary;2017;8575594.27;2874671670.31;153628957.825;1244.66;0;41
France;Ireland;2017;10756528.23;2874671670.32;358588690.892;779.47;0;42
France;Italy;2017;86782826.57;2874671670.33;2118779147.896;1107.31;1;43
France;Lithuania;2017;1440410.69;2874671670.34;47638719.305;1696.86;0;44
France;Luxembourg;2017;4260739.79;2874671670.35;63522097.424;294.28;1;45
France;Latvia;2017;563268.55;2874671670.36;30177306.115;1703.78;0;46
France;Malta;2017;904653.38;2874671670.37;12652624.158;1748.91;0;47
France;Netherlands;2017;47881771.3;2874671670.38;929444115.282;430.64;0;48
France;Poland;2017;21688177.57;2874671670.39;600956455.411;1367.01;0;49
France;Portugal;2017;12188166.84;2874671670.40;223971165.725;1453.17;0;50
France;Romania;2017;8790268.95;2874671670.41;214126202.8;1871.11;0;51
France;Slovak Republic;2017;8011271.06;2874671670.42;108145445.89;1088.79;0;52
France;Slovenia;2017;2802704.67;2874671670.43;52945001.482;964.72;0;53
France;Sweden;2017;12279634.52;2874671670.44;569373173.187;1544.55;0;54
